0,1,2,3,4,5
"2019-11-27, 19:00", ,Atlantas,0 : 2,K. Žalgiris,Klaipėdos dirbtinės dangos st.
"2019-11-27, 19:00", ,Sūduva,2 : 1,Žalgiris,Marijampolės futbolo arenos stadionas
"2019-11-27, 19:00", ,Panevėžys,2 : 0,Riteriai,„Aukštaitijos“ stadionas
"2019-11-23, 13:00", ,Riteriai,5 : 1,Sūduva,LFF stadionas
"2019-11-23, 13:00", ,K. Žalgiris,1 : 0,Panevėžys,LFF Kauno treniruočių centro st.
"2019-11-22, 19:00", ,Žalgiris,5 : 0,Atlantas,LFF stadionas
"2019-11-09, 13:00", ,Sūduva,4 : 1,K. Žalgiris,Marijampolės futbolo arenos stadionas
"2019-11-08, 19:00", ,Žalgiris,1 : 3,Riteriai,LFF stadionas
"2019-11-08, 18:00", ,Atlantas,1 : 4,Panevėžys,Klaipėdos dirbtinės dangos st.
"2019-11-04, 19:00", ,Riteriai,5 : 2,Atlantas,LFF stadionas
"2019-11-04, 18:00", ,K. Žalgiris,1 : 2,Žalgiris,LFF Kauno treniruočių centro st.
"2019-11-03, 17:00", ,Panevėžys,1 : 5,Sūduva,„Aukštaitijos“ stadionas
"2019-10-31, 19:00", ,Riteriai,0 : 1,K. Žalgiris,LFF stadionas
"2019-10-30, 19:00", ,Žalgiris,3 : 1,Panevėžys,LFF stadionas
"2019-10-30, 18:00", ,Sūduva,9 : 1,Atlantas,Marijampolės futbolo arenos stadionas
"2019-10-26, 13:00", ,K. Žalgiris,3 : 0,Stumbras,„Kauno Žalgirio“ FA stadionas
"2019-10-26, 13:00", ,Sūduva,1 : 0,Žalgiris,Marijampolės futbolo arenos stadionas
"2019-10-26, 13:00", ,Atlantas,0 : 1,Palanga,Klaipėdos m. centrinis stadionas
"2019-10-26, 13:00", ,Riteriai,4 : 0,Panevėžys,LFF stadionas
"2019-10-20, 19:00", ,Žalgiris,1 : 3,Sūduva,LFF stadionas
"2019-10-19, 19:00", ,Žalgiris,3 : 0,Stumbras,LFF stadionas
"2019-10-19, 17:00", ,Panevėžys,1 : 1,Atlantas,„Aukštaitijos“ stadionas
"2019-10-19, 13:00", ,Riteriai,0 : 0,K. Žalgiris,LFF stadionas
"2019-10-15, 19:30", ,Riteriai,1 : 2,Sūduva,LFF stadionas
"2019-10-12, 15:00", ,Palanga,0 : 4,Sūduva,Palangos m. stadionas
"2019-10-05, 19:00", ,Sūduva,3 : 1,Panevėžys,Marijampolės futbolo arenos stadionas
"2019-10-05, 17:00", ,Stumbras,0 : 3,Palanga,LFF Kauno treniruočių centro st.
"2019-10-05, 15:00", ,Atlantas,2 : 1,Riteriai,Klaipėdos m. centrinis stadionas
"2019-10-05, 13:00", ,K. Žalgiris,1 : 2,Žalgiris,„Kauno Žalgirio“ FA stadionas
"2019-10-02, 18:30", ,Sūduva,5 : 0,Palanga,Marijampolės futbolo arenos stadionas
"2019-09-28, 18:00", ,Panevėžys,3 : 3,K. Žalgiris,„Aukštaitijos“ stadionas
