Date,Home,Away,Location,Winner
1.6223022,2,1,Alytaus m. stadionas,0.0
1.6234344,12,14,Marijampolės futbolo arenos stadionas,1.0
1.6234416,1,4,Gargždų m. stadionas,1.0
1.62351,6,2,„Kauno Žalgirio“ FA stadionas,0.0
1.6235172,7,9,Kėdainių centrinis stadionas,1.0
1.6235244,10,3,LFF stadionas,0.5
1.62378,10,1,LFF stadionas,0.0
1.6240392,3,14,Telšių m. centrinis stadionas,1.0
1.6240464,7,1,Kėdainių centrinis stadionas,1.0
1.6241292,2,12,Alytaus m. stadionas,0.5
1.6242084,9,10,„Aukštaitijos“ stadionas,0.5
1.6242156,6,4,„Kauno Žalgirio“ FA stadionas,0.5
1.624644,10,12,LFF stadionas,0.5
1.6247196,2,4,Alytaus m. stadionas,1.0
1.6247268,6,9,„Kauno Žalgirio“ FA stadionas,1.0
1.624806,14,7,LFF stadionas,0.0
1.6248132,1,3,Gargždų m. stadionas,0.0
1.625166,2,9,Alytaus m. stadionas,1.0
1.6252488,10,14,LFF stadionas,0.5
1.625256,1,12,Gargždų m. stadionas,1.0
1.625256,7,6,Kėdainių centrinis stadionas,0.5
1.6253316,3,4,Telšių m. centrinis stadionas,0.0
1.6258536,2,7,Alytaus m. stadionas,0.5
1.6259436,3,10,Telšių m. centrinis stadionas,0.0
1.62603,4,1,LFF Kauno treniruočių centro st.,0.0
1.6264584,3,1,Telšių m. centrinis stadionas,0.5
1.6265484,4,7,LFF Kauno treniruočių centro st.,0.0
1.6267248,2,10,Alytaus m. stadionas,0.0
1.6270632,10,3,LFF stadionas,0.0
1.6270704,1,4,Gargždų m. stadionas,1.0
1.6272396,7,2,Kėdainių centrinis stadionas,1.0
1.627668,1,3,Gargždų m. stadionas,0.0
1.6277508,7,4,Kėdainių centrinis stadionas,1.0
1.6278372,10,2,LFF stadionas,0.0
1.6279308,6,12,„Kauno Žalgirio“ FA stadionas,0.5
1.6282728,3,7,Telšių m. centrinis stadionas,0.0
1.62828,6,10,„Kauno Žalgirio“ FA stadionas,0.5
1.6283556,4,2,LFF Kauno treniruočių centro st.,0.5
1.6283628,12,9,Marijampolės futbolo arenos stadionas,0.0
1.6285356,14,1,LFF stadionas,0.0
1.6287084,12,6,Marijampolės futbolo arenos stadionas,0.0
1.6288776,9,1,„Aukštaitijos“ stadionas,0.0
1.6290324,10,12,LFF stadionas,1.0
1.6290468,6,4,„Kauno Žalgirio“ FA stadionas,0.0
1.6294824,2,6,Alytaus m. stadionas,1.0
1.629558,3,9,Telšių m. centrinis stadionas,0.5
1.6295652,1,10,Gargždų m. stadionas,0.5
1.6296516,4,14,LFF Kauno treniruočių centro st.,0.5
1.6296588,12,7,Marijampolės futbolo arenos stadionas,0.0
1.6299144,9,6,„Aukštaitijos“ stadionas,0.0
1.6300872,12,4,Marijampolės futbolo arenos stadionas,1.0
